InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,Year,Month,SalePrice
52407,1/4/2014,United States,2224,US13,Male,9,42,8.5,149,0.1,2014,1,134.1
52408,1/4/2014,Germany,2206,GER2,Male,8.5,41-42,8,149,0.2,2014,1,119.2
52409,1/4/2014,Germany,2157,GER2,Male,12,45,11.5,149,0.2,2014,1,119.2
52410,1/4/2014,Canada,2169,CAN3,Female,8,38-39,6,129,0,2014,1,129
52411,1/4/2014,United States,2191,US13,Male,10.5,43-44,10,139,0,2014,1,139
52411,1/4/2014,United States,2234,US6,Female,9.5,40,7.5,159,0,2014,1,159
52411,1/4/2014,United States,2197,US1,Male,10,43,9.5,129,0,2014,1,129
52412,1/4/2014,United States,2173,US15,Male,10.5,43-44,10,159,0,2014,1,159
52413,1/5/2014,United Kingdom,2156,UK5,Female,8,38-39,6,169,0.1,2014,1,152.1
52414,1/5/2014,Germany,2235,GER1,Male,9.5,42-43,9,169,0.3,2014,1,118.3
52414,1/5/2014,Germany,2239,GER2,Female,8.5,39,6.5,129,0.5,2014,1,64.5
52415,1/5/2014,Canada,2169,CAN3,Female,8,38-39,6,129,0,2014,1,129
52416,1/5/2014,Germany,2235,GER1,Male,10.5,43-44,10,169,0.5,2014,1,84.5
52417,1/5/2014,United States,2154,US15,Male,11,44,10.5,189,0,2014,1,189
52418,1/5/2014,United States,2152,US15,Male,8,41,7.5,139,0,2014,1,139
52419,1/6/2014,Canada,2154,CAN3,Male,10.5,43-44,10,179,0,2014,1,179
52420,1/6/2014,Germany,2154,GER1,Male,10,43,9.5,199,0,2014,1,199
52421,1/6/2014,Germany,2206,GER2,Male,8.5,41-42,8,149,0.2,2014,1,119.2
52421,1/6/2014,Germany,2235,GER1,Male,10.5,43-44,10,169,0.5,2014,1,84.5
52422,1/6/2014,United States,2213,US7,Female,8,38-39,6,139,0,2014,1,139
52423,1/6/2014,United States,2225,US15,Male,10,43,9.5,199,0.3,2014,1,139.3
52424,1/6/2014,Canada,2150,CAN2,Female,9,39-40,7,139,0.2,2014,1,111.2
52425,1/7/2014,Canada,2160,CAN7,Male,9.5,42-43,9,149,0.2,2014,1,119.2
52426,1/7/2014,United Kingdom,2167,UK2,Female,8,38-39,6,199,0,2014,1,199
52427,1/7/2014,Germany,2242,GER2,Female,7,37-38,5,189,0.1,2014,1,170.1
52428,1/7/2014,United States,2173,US15,Male,10.5,43-44,10,159,0,2014,1,159
52429,1/7/2014,Germany,2239,GER1,Female,9.5,40,7.5,159,0.5,2014,1,79.5
52430,1/7/2014,United Kingdom,2168,UK1,Male,10,43,9.5,159,0.1,2014,1,143.1
52431,1/7/2014,United States,2204,US13,Male,9.5,42-43,9,129,0.1,2014,1,116.1
52432,1/8/2014,Canada,2238,CAN5,Male,10,43,9.5,169,0,2014,1,169
52433,1/8/2014,Canada,2154,CAN3,Male,10.5,43-44,10,179,0,2014,1,179
52434,1/8/2014,Germany,2238,GER2,Female,9.5,40,7.5,189,0,2014,1,189
52435,1/8/2014,United Kingdom,2229,UK4,Male,7,40,6.5,169,0,2014,1,169
52436,1/8/2014,Germany,2225,GER2,Male,9.5,42-43,9,179,0.1,2014,1,161.1
52437,1/8/2014,United States,2207,US13,Male,12,45,11.5,169,0,2014,1,169
52438,1/9/2014,United States,2168,US15,Male,11,44,10.5,139,0.1,2014,1,125.1
52439,1/9/2014,Canada,2160,CAN7,Male,9.5,42-43,9,149,0.2,2014,1,119.2
52440,1/9/2014,Germany,2195,GER2,Male,9,42,8.5,189,0,2014,1,189
52441,1/9/2014,United States,2191,US15,Female,8.5,39,6.5,189,0.5,2014,1,94.5
52442,1/9/2014,Canada,2217,CAN3,Female,9,39-40,7,149,0,2014,1,149
52443,1/10/2014,United States,2195,US7,Female,8,38-39,6,129,0.1,2014,1,116.1
52444,1/10/2014,Germany,2157,GER2,Male,12,45,11.5,149,0.2,2014,1,119.2
52445,1/10/2014,United States,2176,US5,Female,8,38-39,6,129,0,2014,1,129
52446,1/10/2014,Germany,2185,GER1,Male,8,41,7.5,179,0,2014,1,179
52447,1/10/2014,Canada,2213,CAN6,Female,8,38-39,6,139,0,2014,1,139
52448,1/10/2014,Canada,2150,CAN2,Female,9,39-40,7,139,0.2,2014,1,111.2
52449,1/11/2014,United States,2154,US15,Male,11,44,10.5,189,0,2014,1,189
52450,1/11/2014,United States,2230,US15,Female,8,38-39,6,129,0,2014,1,129
52450,1/11/2014,United States,2207,US1,Female,8,38-39,6,199,0.1,2014,1,179.1
52451,1/11/2014,United Kingdom,2167,UK2,Female,8.5,39,6.5,149,0,2014,1,149
52452,1/11/2014,Germany,2225,GER2,Male,9.5,42-43,9,179,0.1,2014,1,161.1
52453,1/11/2014,United Kingdom,2168,UK1,Male,10,43,9.5,159,0.1,2014,1,143.1
52454,1/12/2014,United States,2159,US15,Female,8,38-39,6,179,0.5,2014,1,89.5
52454,1/12/2014,United States,2168,US15,Male,11,44,10.5,139,0.1,2014,1,125.1
52455,1/12/2014,Canada,2204,CAN1,Male,9,42,8.5,199,0,2014,1,199
52456,1/12/2014,United States,2206,US12,Male,10,43,9.5,149,0.3,2014,1,104.3
52457,1/12/2014,Germany,2195,GER2,Male,9,42,8.5,189,0,2014,1,189
52458,1/13/2014,United States,2231,US9,Female,7.5,38,5.5,169,0.1,2014,1,152.1
52459,1/13/2014,Canada,2172,CAN6,Female,8,38-39,6,149,0.2,2014,1,119.2
52460,1/13/2014,Canada,2226,CAN6,Male,12,45,11.5,129,0.2,2014,1,103.2
52461,1/13/2014,United States,2232,US4,Female,7.5,38,5.5,169,0,2014,1,169
52461,1/13/2014,United States,2230,US14,Female,9,39-40,7,179,0,2014,1,179
52461,1/13/2014,United States,2169,US3,Female,10,40-41,8,169,0.3,2014,1,118.3
52462,1/13/2014,United Kingdom,2182,UK3,Female,8.5,39,6.5,129,0,2014,1,129
52463,1/14/2014,Germany,2191,GER3,Male,10,43,9.5,149,0,2014,1,149
52464,1/14/2014,Canada,2213,CAN6,Female,8,38-39,6,139,0,2014,1,139
52465,1/14/2014,Germany,2199,GER2,Male,11.5,44-45,11,189,0,2014,1,189
52466,1/14/2014,United States,2159,US15,Female,6,36-37,4,199,0.1,2014,1,179.1
52467,1/14/2014,United States,2210,US2,Female,7.5,38,5.5,189,0,2014,1,189
52467,1/14/2014,United States,2194,US13,Female,9,39-40,7,179,0,2014,1,179
52467,1/14/2014,United States,2169,US14,Male,10.5,43-44,10,139,0,2014,1,139
52468,1/15/2014,United States,2192,US3,Female,7.5,38,5.5,169,0,2014,1,169
52469,1/15/2014,Germany,2225,GER2,Male,9.5,42-43,9,179,0.1,2014,1,161.1
52470,1/15/2014,Canada,2178,CAN5,Male,9.5,42-43,9,139,0.1,2014,1,125.1
52471,1/15/2014,United States,2152,US15,Female,7.5,38,5.5,149,0.3,2014,1,104.3
52472,1/15/2014,United States,2231,US9,Female,7.5,38,5.5,169,0.1,2014,1,152.1
52472,1/15/2014,United States,2222,US1,Female,9,39-40,7,139,0.1,2014,1,125.1
52472,1/15/2014,United States,2202,US14,Female,10,40-41,8,129,0.3,2014,1,90.3
52473,1/16/2014,Canada,2213,CAN2,Male,8.5,41-42,8,169,0.5,2014,1,84.5
52474,1/16/2014,United States,2204,US6,Female,7.5,38,5.5,169,0,2014,1,169
52474,1/16/2014,United States,2161,US15,Male,10,43,9.5,139,0,2014,1,139
52474,1/16/2014,United States,2233,US1,Female,9.5,40,7.5,149,0.3,2014,1,104.3
52475,1/16/2014,Germany,2242,GER2,Female,7,37-38,5,189,0.1,2014,1,170.1
52476,1/16/2014,United States,2194,US15,Female,7.5,38,5.5,129,0,2014,1,129
52477,1/17/2014,Canada,2177,CAN6,Male,11,44,10.5,169,0,2014,1,169
52478,1/17/2014,Canada,2220,CAN6,Male,9.5,42-43,9,169,0,2014,1,169
52479,1/17/2014,United States,2177,US5,Female,7.5,38,5.5,159,0.2,2014,1,127.2
52479,1/17/2014,United States,2163,US9,Female,9.5,40,7.5,129,0.1,2014,1,116.1
52480,1/17/2014,United States,2232,US4,Female,7.5,38,5.5,169,0,2014,1,169
52480,1/17/2014,United States,2163,US14,Female,9.5,40,7.5,169,0,2014,1,169
52480,1/17/2014,United States,2150,US8,Male,9.5,42-43,9,199,0,2014,1,199
52481,1/17/2014,Canada,2154,CAN3,Male,10.5,43-44,10,179,0,2014,1,179
52482,1/17/2014,United States,2177,US15,Male,14,47,13.5,159,0.1,2014,1,143.1
52483,1/18/2014,Canada,2241,CAN5,Male,9.5,42-43,9,139,0.2,2014,1,111.2
52484,1/18/2014,United Kingdom,2221,UK2,Female,6.5,37,4.5,159,0.2,2014,1,127.2
52485,1/18/2014,United States,2204,US6,Female,7.5,38,5.5,169,0,2014,1,169
52485,1/18/2014,United States,2233,US1,Female,9.5,40,7.5,149,0.3,2014,1,104.3
52486,1/18/2014,United States,2210,US2,Female,7.5,38,5.5,189,0,2014,1,189
52486,1/18/2014,United States,2191,US9,Male,10.5,43-44,10,199,0,2014,1,199
52486,1/18/2014,United States,2161,US15,Male,10,43,9.5,139,0,2014,1,139
52487,1/18/2014,United States,2154,US15,Female,8,38-39,6,139,0.3,2014,1,97.3
52488,1/18/2014,Canada,2211,CAN7,Female,8.5,39,6.5,149,0,2014,1,149
52489,1/18/2014,Germany,2151,GER2,Male,6,39,5.5,199,0,2014,1,199
52490,1/19/2014,United States,2235,US15,Female,9.5,40,7.5,139,0,2014,1,139
52491,1/19/2014,Germany,2214,GER3,Male,10.5,43-44,10,139,0,2014,1,139
52492,1/19/2014,Germany,2209,GER3,Female,7.5,38,5.5,169,0.2,2014,1,135.2
52493,1/19/2014,United States,2232,US4,Female,7.5,38,5.5,169,0,2014,1,169
52493,1/19/2014,United States,2150,US8,Male,9.5,42-43,9,199,0,2014,1,199
52494,1/19/2014,United Kingdom,2202,UK4,Male,9,42,8.5,199,0,2014,1,199
52495,1/19/2014,Germany,2185,GER1,Male,8,41,7.5,179,0,2014,1,179
52496,1/19/2014,Canada,2156,CAN6,Male,9,42,8.5,189,0,2014,1,189
52496,1/19/2014,Canada,2189,CAN7,Male,11,44,10.5,129,0.3,2014,1,90.3
52497,1/19/2014,Canada,2236,CAN7,Female,8.5,39,6.5,129,0,2014,1,129
52498,1/19/2014,Germany,2189,GER2,Female,7.5,38,5.5,139,0.5,2014,1,69.5
52499,1/20/2014,United States,2180,US15,Female,8,38-39,6,149,0,2014,1,149
52499,1/20/2014,United States,2204,US15,Female,9.5,40,7.5,169,0.1,2014,1,152.1
52500,1/20/2014,United Kingdom,2154,UK2,Male,9.5,42-43,9,139,0,2014,1,139
52501,1/20/2014,Germany,2192,GER1,Male,11,44,10.5,199,0,2014,1,199
52502,1/20/2014,United States,2230,US15,Female,8,38-39,6,129,0,2014,1,129
52503,1/20/2014,Canada,2185,CAN7,Male,7.5,40-41,7,169,0,2014,1,169
52503,1/20/2014,Canada,2156,CAN6,Male,9,42,8.5,189,0,2014,1,189
52504,1/20/2014,Germany,2180,GER3,Female,7.5,38,5.5,139,0,2014,1,139
52505,1/21/2014,United States,2154,US15,Female,8,38-39,6,139,0.3,2014,1,97.3
52505,1/21/2014,United States,2214,US15,Female,9.5,40,7.5,149,0.5,2014,1,74.5
52506,1/21/2014,Germany,2238,GER1,Male,11.5,44-45,11,129,0.1,2014,1,116.1
52507,1/21/2014,Germany,2151,GER1,Male,9.5,42-43,9,149,0.2,2014,1,119.2
52508,1/21/2014,United Kingdom,2222,UK4,Female,9,39-40,7,159,0,2014,1,159
52509,1/21/2014,United States,2177,US5,Female,7.5,38,5.5,159,0.2,2014,1,127.2
52510,1/21/2014,Canada,2178,CAN5,Male,9.5,42-43,9,139,0.1,2014,1,125.1
52510,1/21/2014,Canada,2185,CAN7,Male,7.5,40-41,7,169,0,2014,1,169
52511,1/22/2014,Germany,2199,GER2,Male,11.5,44-45,11,189,0,2014,1,189
52512,1/22/2014,Germany,2200,GER2,Female,7,37-38,5,129,0,2014,1,129
52513,1/22/2014,United States,2183,US4,Female,8,38-39,6,149,0,2014,1,149
52514,1/22/2014,United States,2175,US15,Male,9,42,8.5,179,0.5,2014,1,89.5
52515,1/22/2014,United States,2204,US6,Female,7.5,38,5.5,169,0,2014,1,169
52516,1/23/2014,United States,2152,US15,Female,7.5,38,5.5,149,0.3,2014,1,104.3
52517,1/23/2014,Canada,2189,CAN7,Male,11,44,10.5,129,0.3,2014,1,90.3
52518,1/23/2014,United States,2163,US12,Female,8,38-39,6,149,0,2014,1,149
52519,1/23/2014,United States,2172,US13,Male,10.5,43-44,10,129,0.2,2014,1,103.2
52520,1/23/2014,Germany,2191,GER2,Male,9.5,42-43,9,199,0.3,2014,1,139.3
52521,1/23/2014,United States,2213,US6,Male,11.5,44-45,11,179,0.3,2014,1,125.3
52522,1/23/2014,United States,2173,US7,Female,9.5,40,7.5,199,0,2014,1,199
52522,1/23/2014,United States,2190,US13,Female,9.5,40,7.5,169,0.3,2014,1,118.3
52523,1/24/2014,Germany,2233,GER3,Male,9.5,42-43,9,179,0,2014,1,179
52524,1/24/2014,Canada,2156,CAN6,Male,9,42,8.5,189,0,2014,1,189
52525,1/24/2014,United States,2158,US13,Male,10.5,43-44,10,159,0.2,2014,1,127.2
52526,1/24/2014,United States,2219,US13,Male,10.5,43-44,10,139,0,2014,1,139
52527,1/24/2014,Canada,2227,CAN1,Female,8,38-39,6,179,0.3,2014,1,125.3
52528,1/24/2014,United States,2211,US6,Male,9.5,42-43,9,189,0,2014,1,189
52529,1/24/2014,United States,2164,US5,Female,8,38-39,6,149,0,2014,1,149
52530,1/24/2014,United States,2175,US15,Male,9,42,8.5,179,0.5,2014,1,89.5
52530,1/24/2014,United States,2173,US7,Female,9.5,40,7.5,199,0,2014,1,199
52531,1/25/2014,United Kingdom,2169,UK4,Female,7.5,38,5.5,189,0.2,2014,1,151.2
52532,1/25/2014,Canada,2217,CAN5,Male,7,40,6.5,199,0,2014,1,199
52533,1/25/2014,Canada,2151,CAN5,Female,9,39-40,7,129,0.5,2014,1,64.5
52534,1/25/2014,United States,2235,US13,Male,8.5,41-42,8,169,0.3,2014,1,118.3
52535,1/25/2014,Germany,2169,GER1,Male,9.5,42-43,9,129,0,2014,1,129
52535,1/25/2014,Germany,2197,GER1,Female,8.5,39,6.5,179,0.2,2014,1,143.2
52536,1/25/2014,Germany,2151,GER1,Male,9.5,42-43,9,149,0.2,2014,1,119.2
52537,1/25/2014,United States,2203,US8,Female,8,38-39,6,179,0.5,2014,1,89.5
52538,1/25/2014,United States,2213,US6,Male,11.5,44-45,11,179,0.3,2014,1,125.3
52538,1/25/2014,United States,2175,US15,Male,9,42,8.5,179,0.5,2014,1,89.5
52539,1/26/2014,United Kingdom,2227,UK1,Female,7.5,38,5.5,129,0.5,2014,1,64.5
52540,1/26/2014,Germany,2200,GER2,Female,7,37-38,5,129,0,2014,1,129
52541,1/26/2014,Canada,2154,CAN6,Female,9,39-40,7,129,0,2014,1,129
52542,1/26/2014,United States,2147,US15,Female,8.5,39,6.5,189,0,2014,1,189
52543,1/26/2014,United States,2183,US4,Female,8,38-39,6,149,0,2014,1,149
52544,1/26/2014,United Kingdom,2158,UK4,Female,6,36-37,4,189,0,2014,1,189
52545,1/26/2014,United States,2226,US8,Female,8,38-39,6,199,0.3,2014,1,139.3
52546,1/26/2014,Germany,2227,GER1,Female,9,39-40,7,149,0.1,2014,1,134.1
52547,1/27/2014,Canada,2189,CAN7,Male,11,44,10.5,129,0.3,2014,1,90.3
52548,1/27/2014,United Kingdom,2224,UK3,Male,8.5,41-42,8,129,0.5,2014,1,64.5
52549,1/27/2014,Canada,2198,CAN5,Male,9,42,8.5,169,0.3,2014,1,118.3
52550,1/27/2014,Germany,2201,GER1,Male,10,43,9.5,149,0,2014,1,149
52551,1/27/2014,United States,2164,US5,Female,8,38-39,6,149,0,2014,1,149
52552,1/27/2014,Germany,2189,GER3,Female,9,39-40,7,149,0.3,2014,1,104.3
52553,1/28/2014,Germany,2219,GER3,Male,10.5,43-44,10,179,0.3,2014,1,125.3
52554,1/28/2014,United Kingdom,2224,UK3,Female,6,36-37,4,129,0,2014,1,129
52555,1/28/2014,Germany,2233,GER3,Male,9.5,42-43,9,179,0,2014,1,179
52556,1/28/2014,Germany,2210,GER3,Female,9,39-40,7,169,0.5,2014,1,84.5
52557,1/29/2014,United States,2231,US5,Male,10,43,9.5,159,0.1,2014,1,143.1
52558,1/29/2014,Canada,2220,CAN5,Female,8,38-39,6,169,0,2014,1,169
52559,1/29/2014,United Kingdom,2169,UK4,Female,7.5,38,5.5,189,0.2,2014,1,151.2
52560,1/30/2014,United States,2228,US15,Male,9.5,42-43,9,169,0,2014,1,169
52560,1/30/2014,United States,2165,US3,Female,8,38-39,6,189,0,2014,1,189
52561,1/30/2014,United States,2234,US12,Female,9.5,40,7.5,159,0,2014,1,159
52562,1/30/2014,Germany,2191,GER2,Male,9.5,42-43,9,199,0.3,2014,1,139.3
52563,1/30/2014,United States,2190,US15,Male,8.5,41-42,8,189,0.5,2014,1,94.5
52564,1/31/2014,United States,2195,US15,Male,11.5,44-45,11,199,0.2,2014,1,159.2
52564,1/31/2014,United States,2228,US15,Male,9.5,42-43,9,169,0,2014,1,169
52565,1/31/2014,United States,2166,US12,Male,9,42,8.5,139,0,2014,1,139
52566,1/31/2014,Germany,2165,GER1,Female,10.5,41,8.5,179,0.2,2014,1,143.2
52567,1/31/2014,United States,2180,US15,Female,8,38-39,6,149,0,2014,1,149
52567,1/31/2014,United States,2208,US15,Female,8,38-39,6,159,0,2014,1,159
52567,1/31/2014,United States,2237,US10,Female,8,38-39,6,129,0.1,2014,1,116.1
52568,1/31/2014,United States,2177,US15,Male,14,47,13.5,159,0.1,2014,1,143.1
52569,1/31/2014,Canada,2147,CAN3,Female,8,38-39,6,169,0.1,2014,1,152.1
52570,2/1/2014,United States,2193,US15,Male,10.5,43-44,10,199,0,2014,2,199
52570,2/1/2014,United States,2195,US15,Male,11.5,44-45,11,199,0.2,2014,2,159.2
52571,2/1/2014,Germany,2212,GER2,Female,10.5,41,8.5,199,0,2014,2,199
52572,2/1/2014,United States,2211,US15,Female,8,38-39,6,169,0,2014,2,169
52572,2/1/2014,United States,2165,US3,Female,8,38-39,6,189,0,2014,2,189
52573,2/1/2014,Germany,2214,GER3,Male,10.5,43-44,10,139,0,2014,2,139
52574,2/1/2014,Canada,2211,CAN7,Female,8.5,39,6.5,149,0,2014,2,149
52575,2/1/2014,Canada,2182,CAN2,Female,9,39-40,7,179,0,2014,2,179
52576,2/1/2014,Canada,2214,CAN6,Female,8,38-39,6,189,0.1,2014,2,170.1
52577,2/2/2014,United Kingdom,2222,UK4,Male,10.5,43-44,10,199,0.1,2014,2,179.1
52578,2/2/2014,United States,2201,US15,Female,7.5,38,5.5,189,0,2014,2,189
52579,2/2/2014,Germany,2181,GER2,Female,10.5,41,8.5,159,0,2014,2,159
52580,2/2/2014,United States,2180,US15,Female,8,38-39,6,149,0,2014,2,149
52580,2/2/2014,United States,2180,US15,Female,8,38-39,6,149,0,2014,2,149
52580,2/2/2014,United States,2228,US15,Male,9.5,42-43,9,169,0,2014,2,169
52581,2/2/2014,Germany,2147,GER1,Female,9,39-40,7,129,0,2014,2,129
52582,2/2/2014,United Kingdom,2219,UK3,Male,9.5,42-43,9,189,0.1,2014,2,170.1
52583,2/2/2014,Germany,2219,GER3,Male,10.5,43-44,10,179,0.3,2014,2,125.3
52584,2/3/2014,United Kingdom,2211,UK5,Male,11.5,44-45,11,129,0,2014,2,129
52585,2/3/2014,Germany,2212,GER3,Male,10,43,9.5,159,0,2014,2,159
52586,2/3/2014,United States,2186,US12,Male,9.5,42-43,9,169,0,2014,2,169
52587,2/3/2014,United Kingdom,2225,UK3,Male,8.5,41-42,8,149,0.5,2014,2,74.5
52588,2/3/2014,Canada,2182,CAN2,Female,9,39-40,7,179,0,2014,2,179
52589,2/3/2014,Canada,2195,CAN5,Male,10.5,43-44,10,179,0,2014,2,179
52589,2/3/2014,Canada,2192,CAN3,Male,9,42,8.5,159,0,2014,2,159
52590,2/3/2014,United Kingdom,2208,UK2,Male,10,43,9.5,179,0,2014,2,179
52591,2/4/2014,United States,2186,US15,Female,7.5,38,5.5,179,0,2014,2,179
52591,2/4/2014,United States,2237,US15,Female,9,39-40,7,139,0.3,2014,2,97.3
52592,2/4/2014,United States,2217,US12,Female,8.5,39,6.5,189,0.3,2014,2,132.3
52593,2/4/2014,United States,2196,US15,Female,9,39-40,7,169,0,2014,2,169
52594,2/4/2014,United States,2222,US12,Male,10,43,9.5,139,0.1,2014,2,125.1
52595,2/4/2014,Germany,2198,GER1,Male,10.5,43-44,10,189,0,2014,2,189
52596,2/4/2014,United Kingdom,2219,UK3,Male,9.5,42-43,9,189,0.1,2014,2,170.1
52597,2/4/2014,Canada,2151,CAN6,Male,10,43,9.5,159,0,2014,2,159
52597,2/4/2014,Canada,2195,CAN5,Male,10.5,43-44,10,179,0,2014,2,179
52598,2/5/2014,United States,2158,US14,Male,9.5,42-43,9,179,0.2,2014,2,143.2
52599,2/5/2014,United States,2155,US2,Female,8.5,39,6.5,189,0,2014,2,189
52600,2/5/2014,United States,2183,US15,Female,9,39-40,7,139,0.5,2014,2,69.5
52601,2/5/2014,United States,2174,US12,Male,6,39,5.5,139,0.1,2014,2,125.1
52602,2/5/2014,United Kingdom,2184,UK2,Female,8,38-39,6,179,0,2014,2,179
52603,2/5/2014,Canada,2217,CAN5,Male,7,40,6.5,199,0,2014,2,199
52603,2/5/2014,Canada,2151,CAN6,Male,10,43,9.5,159,0,2014,2,159
52604,2/6/2014,United States,2152,US15,Female,8,38-39,6,139,0,2014,2,139
52605,2/6/2014,United States,2150,US9,Male,9.5,42-43,9,189,0,2014,2,189
52606,2/6/2014,United Kingdom,2156,UK5,Female,8,38-39,6,169,0.1,2014,2,152.1
52606,2/6/2014,United Kingdom,2167,UK2,Female,8.5,39,6.5,149,0,2014,2,149
52607,2/6/2014,Germany,2150,GER3,Female,7,37-38,5,179,0.3,2014,2,125.3
52608,2/7/2014,United States,2199,US3,Female,8,38-39,6,169,0.1,2014,2,152.1
52609,2/7/2014,United States,2231,US5,Male,10,43,9.5,159,0.1,2014,2,143.1
52610,2/7/2014,United States,2217,US3,Female,9.5,40,7.5,139,0,2014,2,139
52611,2/7/2014,Canada,2192,CAN3,Male,9,42,8.5,159,0,2014,2,159
52612,2/8/2014,United States,2231,US15,Male,11,44,10.5,189,0,2014,2,189
52613,2/8/2014,United Kingdom,2201,UK5,Male,9,42,8.5,199,0,2014,2,199
52614,2/8/2014,United States,2158,US14,Male,9.5,42-43,9,179,0.2,2014,2,143.2
52615,2/8/2014,Canada,2195,CAN5,Male,10.5,43-44,10,179,0,2014,2,179
52616,2/9/2014,United States,2224,US3,Female,9.5,40,7.5,169,0,2014,2,169
52617,2/9/2014,Canada,2207,CAN2,Male,10.5,43-44,10,159,0,2014,2,159
52618,2/9/2014,United Kingdom,2221,UK5,Male,10.5,43-44,10,139,0,2014,2,139
52619,2/9/2014,United States,2150,US9,Male,9.5,42-43,9,189,0,2014,2,189
52620,2/9/2014,Germany,2152,GER2,Male,9,42,8.5,149,0,2014,2,149
52621,2/9/2014,United States,2229,US14,Male,9,42,8.5,129,0,2014,2,129
52622,2/9/2014,Germany,2210,GER1,Female,9.5,40,7.5,129,0,2014,2,129
52623,2/10/2014,United States,2217,US3,Female,9.5,40,7.5,139,0,2014,2,139
52624,2/10/2014,Germany,2150,GER3,Female,7,37-38,5,179,0.3,2014,2,125.3
52625,2/10/2014,United Kingdom,2172,UK3,Male,8.5,41-42,8,179,0,2014,2,179
52626,2/10/2014,United States,2210,US14,Male,9.5,42-43,9,159,0,2014,2,159
52627,2/10/2014,United States,2208,US15,Female,8,38-39,6,159,0,2014,2,159
52628,2/10/2014,Germany,2157,GER2,Female,9.5,40,7.5,169,0.1,2014,2,152.1
52629,2/10/2014,United States,2225,US15,Male,10,43,9.5,199,0.3,2014,2,139.3
52630,2/11/2014,United States,2158,US14,Male,9.5,42-43,9,179,0.2,2014,2,143.2
52631,2/11/2014,Canada,2192,CAN3,Male,9,42,8.5,159,0,2014,2,159
52632,2/11/2014,Germany,2241,GER1,Male,9.5,42-43,9,129,0.2,2014,2,103.2
52633,2/11/2014,United States,2232,US12,Female,10,40-41,8,159,0.5,2014,2,79.5
52634,2/11/2014,United States,2211,US15,Female,8,38-39,6,169,0,2014,2,169
52635,2/11/2014,Germany,2239,GER1,Female,9.5,40,7.5,159,0.5,2014,2,79.5
52635,2/11/2014,Germany,2210,GER1,Female,9.5,40,7.5,129,0,2014,2,129
52636,2/11/2014,United Kingdom,2232,UK2,Male,10.5,43-44,10,199,0,2014,2,199
52637,2/11/2014,United States,2178,US15,Female,8.5,39,6.5,169,0,2014,2,169
52638,2/12/2014,Germany,2151,GER2,Male,6,39,5.5,199,0,2014,2,199
52639,2/12/2014,Germany,2225,GER1,Male,8.5,41-42,8,139,0,2014,2,139
52640,2/12/2014,United States,2161,US9,Female,8,38-39,6,189,0,2014,2,189
52641,2/12/2014,United States,2169,US3,Female,10,40-41,8,169,0.3,2014,2,118.3
52642,2/12/2014,United Kingdom,2225,UK3,Male,8.5,41-42,8,149,0.5,2014,2,74.5
52643,2/12/2014,United States,2229,US13,Male,9,42,8.5,149,0,2014,2,149
52644,2/13/2014,Germany,2189,GER2,Female,7.5,38,5.5,139,0.5,2014,2,69.5
52645,2/13/2014,Canada,2204,CAN5,Female,8,38-39,6,129,0,2014,2,129
